id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
18,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] [ Cedric Gervais Remix Radio Edit ] 29-Oct-13,Lana Del Rey & Cedric Gervais,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] ( Cedric Gervais Remix Radio Edit ) - Single,"Alternative , Music , Rock",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,3:47,None
19,"Tropico Tropico - Single Alternative , Music 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA",Lana Del Rey,None,None,Album Only,None,27:07:00,6-Dec-13
20,"Blue Jeans ( Penguin Prison Remix ) Lana Del Rey Blue Jeans ( Remixes ) - EP Alternative , Music , Rock , Adult Alternative 5:36",None,None,None,$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,None,1-May-12
21,"Blue Jeans ( Penguin Prison Remix ) Blue Jeans ( Remixes ) - EP Alternative , Music , Rock , Adult Alternative 5:36 1-May-12",Lana Del Rey,None,None,$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,None,None
22,"I Need Somebody Tonight ( feat . Thelma Houston ) [ Audiowhores Remix ] Joey Negro Dance , Music 2013 Hed Kandi Records",None,Hed Kandi Ibiza 2013,None,$ 1.29,None,3:08,15-Jul-13
23,"This Is What Makes Us Girls Alternative , Music , Rock , Adult Alternative 4:00 6-Aug-13",Lana Del Rey,Born To Die,None,$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,None,None
24,"This Is What Makes Us Girls Lana Del Rey Born To Die Alternative , Music , Rock , Adult Alternative 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 4:00 6-Aug-13",None,None,None,$ 1.29,None,None,None
25,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Extended Remix ] Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Extended Remix ] - Single $ 1.29 6:52,Lana Del Rey & Cedric Gervais,None,"Alternative , Music , Dance , Rock , Adult Alternative , Electronic",None,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,None,25-Feb-14
26,"Blue Jeans ( Penguin Prison Remix ) Lana Del Rey Blue Jeans ( Remixes ) - EP Alternative , Music , Rock , Adult Alternative $ 1.29 1-May-12",None,None,None,None,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,None
27,"Ultraviolence ( Hook N Sling Remix ) Alternative , Music $ 1.29 2015 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA",Lana Del Rey,Ultraviolence ( Hook N Sling Remix ) - Single,None,None,None,5:29,15-Feb-15
28,Blue Jeans ( Penguin Prison Remix ) Lana Del Rey Blue Jeans ( Remixes ) - EP $ 1.29,None,None,"Alternative , Music , Rock , Adult Alternative",None,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
29,"West Coast ( MK Remix ) Lana Del Rey Alternative , Music , Rock $ 1.29 2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 13-Jul-14",None,West Coast ( Remix EP ),None,None,None,5:26,None
30,"Face Down Earth ( HK Tropical House Edit ) [ Urban Contact Remix ] Hed Kandi Tropical House Dance , Music",Olympique,None,None,$ 1.29,2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,3:26,3-May-15
31,"Video Games ( We DonŠ -- Èt Belong In Pacha Remix ) Alternative , Music , Rock , Adult Alternative 5:19",Lana Del Rey,Video Games Remixes - EP,None,$ 0.99,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,None,28-Feb-12
32,"Video Games ( We DonŠ -- Èt Belong In Pacha Remix ) Alternative , Music , Rock , Adult Alternative $ 0.99 2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 5:19 28-Feb-12",Lana Del Rey,Video Games Remixes - EP,None,None,None,None,None
33,"This Is What Makes Us Girls Lana Del Rey Born To Die Alternative , Music , Rock , Adult Alternative $ 1.29 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 4:00",None,None,None,None,None,None,6-Aug-13
34,"This Is What Makes Us Girls Alternative , Music , Rock , Adult Alternative",Lana Del Rey,Born To Die,None,$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
35,"This Is What Makes Us Girls Lana Del Rey Alternative , Music , Rock , Adult Alternative 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 6-Aug-13",None,Born To Die,None,$ 1.29,None,4:00,None
36,West Coast ( MK Remix ) West Coast ( Remix EP ) $ 1.29,Lana Del Rey,None,"Alternative , Music , Rock",None,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
37,This Is What Makes Us Girls Lana Del Rey Born To Die $ 1.29 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 4:00,None,None,"Alternative , Music , Rock , Adult Alternative",None,None,None,6-Aug-13
38,"This Is What Makes Us Girls Born To Die Alternative , Music , Rock , Adult Alternative $ 1.29 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 4:00 6-Aug-13",Lana Del Rey,None,None,None,None,None,None
39,"Wasting Time ( HK Deep Disco Edit ) Hed Kandi : Deep Disco Dance , Music $ 1.29 2014 Hed Kandi Records/Ministry of Sound Recordings Ltd 25-Jan-15",Lucas Nord,None,None,None,None,4:04,None
40,Bring Me Joy ( HK Miami 2015 Edit ) Hed Kandi Miami 2015 $ 1.29 4:44,DJ Eibhlin,None,"Dance , Music",None,2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,None,22-Feb-15
41,Blue Jeans ( Penguin Prison Remix ) Blue Jeans ( Remixes ) - EP $ 1.29 2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,Lana Del Rey,None,"Alternative , Music , Rock , Adult Alternative",None,None,5:36,1-May-12
42,"Video Games ( Omid 16B Instrumental Reprise ) Dance , Music , Rock , Adult Alternative 2:35 21-Jan-13",Lana Del Rey,Blue Jeans Omid 16B Remixes,None,$ 1.29,2013 Alola Records,None,None
43,This Is What Makes Us Girls Lana Del Rey Born To Die 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,None,None,"Alternative , Music , Rock , Adult Alternative",$ 1.29,None,4:00,6-Aug-13
44,This Is What Makes Us Girls Born To Die $ 1.29 6-Aug-13,Lana Del Rey,None,"Alternative , Music , Rock , Adult Alternative",None,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,None
45,Tropico Lana Del Rey 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 6-Dec-13,None,Tropico - Single,"Alternative , Music",Album Only,None,27:07:00,None
46,"Ride ( Lyla 's Surprise ) [ James Lavelle Remix ] Ride ( Remixes ) Alternative , Music , Rock 2012 Polydor Ltd. ( UK ) 19-Nov-12",Lana Del Rey,None,None,$ 1.29,None,8:13,None
47,"Ride ( Lyla 's Surprise ) [ James Lavelle Remix ] Lana Del Rey Alternative , Music , Rock 8:13",None,Ride ( Remixes ),None,$ 1.29,2012 Polydor Ltd. ( UK ),None,19-Nov-12
48,"Video Games ( Omid 16B Instrumental Reprise ) Lana Del Rey Dance , Music , Rock , Adult Alternative $ 1.29",None,Blue Jeans Omid 16B Remixes,None,None,2013 Alola Records,2:35,21-Jan-13
49,Video Games ( Omid 16B Instrumental Reprise ) Lana Del Rey Blue Jeans Omid 16B Remixes $ 1.29 2013 Alola Records 21-Jan-13,None,None,"Dance , Music , Rock , Adult Alternative",None,None,2:35,None
50,"Video Games ( Omid 16B Instrumental Reprise ) Dance , Music , Rock , Adult Alternative 2013 Alola Records",Lana Del Rey,Blue Jeans Omid 16B Remixes,None,$ 1.29,None,2:35,21-Jan-13
51,"Video Games ( Omid 16B Instrumental Reprise ) Blue Jeans Omid 16B Remixes Dance , Music , Rock , Adult Alternative $ 1.29",Lana Del Rey,None,None,None,2013 Alola Records,2:35,21-Jan-13
52,"Video Games ( Omid 16B Instrumental Reprise ) Blue Jeans Omid 16B Remixes Dance , Music , Rock , Adult Alternative $ 1.29 2013 Alola Records 2:35 21-Jan-13",Lana Del Rey,None,None,None,None,None,None
53,Video Games ( Omid 16B Instrumental Reprise ) Blue Jeans Omid 16B Remixes $ 1.29 2013 Alola Records 2:35 21-Jan-13,Lana Del Rey,None,"Dance , Music , Rock , Adult Alternative",None,None,None,None
54,"Over and Out ( Miami Sessions 2013 Edit ) [ Instrumental Mix ] Kink & Marc Romboy Dance , Music 2013 Ministry of Sound Recordings Limited 10-Mar-13",None,Miami Sessions 2013 - Ministry of Sound,None,$ 1.29,None,6:42,None
55,"Twisted Sister ( Ibiza Sessions 2013 Edit ) [ DJ Hell 's Dehousing Berlin Mix ] Ibiza Sessions 2013 - Ministry of Sound Dance , Music $ 1.29 2013 Ministry of Sound Recordings Limited",M.A.N.D.Y.,None,None,None,None,4:53,9-Jun-13
56,Summertime Sadness ( MK Lee Foss Cold Blooded Remix ) $ 1.29,Lana Del Rey,Hed Kandi Beach House 2013,"Dance , Music",None,2013 Hed Kandi Records,5:40,16-Jun-13
57,"This Is What Makes Us Girls Lana Del Rey Alternative , Music , Rock , Adult Alternative $ 1.29 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA",None,Born To Die,None,None,None,4:00,6-Aug-13
58,This Is What Makes Us Girls Born To Die $ 1.29 4:00,Lana Del Rey,None,"Alternative , Music , Rock , Adult Alternative",None,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,None,6-Aug-13
59,"This Is What Makes Us Girls Lana Del Rey Born To Die Alternative , Music , Rock , Adult Alternative $ 1.29",None,None,None,None,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
60,"Falling ( Commited To Sparkle Motion ) [ Ibiza Annual 2013 Edit ] [ Axwell Radio Edit ] Ibiza Annual 2013 - Ministry of Sound Dance , Music 2013 Ministry of Sound Recordings Ltd.",Discopolis,None,None,Album Only,None,3:05,2-Sep-13
61,"Tropico Alternative , Music 6-Dec-13",Lana Del Rey,Tropico - Single,None,Album Only,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,27:07:00,None
62,"Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ] Eat , Sleep , Rave , Repeat - Ministry of Sound Dance , Music Album Only 2014 Ministry of Sound Recordings Ltd 2:43",Breach,None,None,None,None,None,10-Feb-14
63,West Coast ( MK Remix ) West Coast ( Remix EP ) $ 1.29 5:26 13-Jul-14,Lana Del Rey,None,"Alternative , Music , Rock",None,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,None,None
64,Abandon Window ( TMATNB Edit ) Jon Hopkins The Morning After the Night Before - Ministry of Sound 2014 Ministry of Sound Recordings Ltd 4:54 28-Sep-14,None,None,"Dance , Music , Electronic",$ 1.29,None,None,None
65,All of Me ( Ti ' âsto 's Birthday Treatment Remix - Radio Edit ) 4:10,John Legend,"Now Party Anthems , Vol . 2","Pop , Music",Album Only,"This compilation ( P ) 2014 UMG Recordings , Inc. and Sony Music Entertainment",None,5-Aug-14
66,"A Mother 's Prayer C ' © line Dion Gim me Shelter ( Original Soundtrack Album ) Soundtrack , Music",None,None,None,Album Only,"2014 Day Twenty-Eight Films Apple , Llc Under Exclusive License To Milan Entertainment Inc.",3:41,11-Mar-14
67,"This Is What It Feels Like ( feat . Trevor Guthrie ) Fitness & Workout , Music 2013 UMG Recordings , Inc. and Sony Music Entertainment",Armin van Buuren,NOW That 's What I Call a Workout 3,None,Album Only,None,3:23,17-Dec-13
68,Boy ( Mk Deep Dub ) K.E.L.S.E.Y. 7:08 15-Nov-13,None,Defected Presents House Masters - MK ( Second Edition ),"Dance , Music",$ 1.29,2013 Defected Records Limited,None,None
69,Deflowered ( Hieroglyphic Being Remix ) Special Request $ 1.29 6:56,None,Soul Music,"Dance , Music , Electronic , Rock , Jungle/Drum 'n' bass",None,2013 Houndstooth,None,21-Oct-13
70,"Addicted 2 the Bass ( EDM Euphoria 2013 Edit ) [ Daahype 's Trap VIP ] Dance , Music 2013 Euphoria 16-Sep-13",Wideboys,EDM Euphoria 2013,None,$ 1.29,None,3:11,None
71,Bullet That Saved Me ( Pump It Up Edit ) [ feat . Underdown ] [ Festival Mix ] Tritonal Pump It Up - Ultimate Dance Workout - Ministry of Sound,None,None,"Fitness & Workout , Music",$ 1.29,2013 Ministry of Sound Recordings Ltd.,3:50,8-Sep-13
72,"Claire Clarian & Guy Gerber Dance , Music 2013 Ministry of Sound Recordings Limited",None,Chilled House Ibiza 2013 - Ministry of Sound,None,$ 1.29,None,6:59,21-Jul-13
73,Night Light ( Running Trax Summer 60 Min Mix ) [ Joe Goddard Remix ] Running Trax Summer 2013 - Ministry of Sound 2013 Ministry of Sound Recordings Limited,Jessie Ware,None,"Fitness & Workout , Music , Pop",$ 1.29,None,5:31,8-Jul-13
74,RAC Radio ( Continuous DJ Mix ) Chapter One Album Only 2012 RAC Records 1:01:40 6-Nov-12,RAC,None,"Electronic , Music , Dance",None,None,None,None
75,"Hallelujah Anyway ( Larse Vocal Edit ) Hed Kandi Nu Disco Dance , Music 2012 Hed Kandi Records 23-Sep-12",Candi Staton,None,None,Album Only,None,3:03,None
76,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ) 2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 5:19,Lana Del Rey,Video Games Remixes - EP,"Alternative , Music , Rock , Adult Alternative",$ 0.99,None,None,28-Feb-12
77,"Video Games ( We DonŠ -- Èt Belong In Pacha Remix ) Alternative , Music , Rock , Adult Alternative $ 0.99 2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 28-Feb-12",Lana Del Rey,Video Games Remixes - EP,None,None,None,5:19,None
78,"Video Games ( We DonŠ -- Èt Belong In Pacha Remix ) Lana Del Rey Alternative , Music , Rock , Adult Alternative $ 0.99 5:19",None,Video Games Remixes - EP,None,None,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,None,28-Feb-12
79,Blue Jeans ( Penguin Prison Remix ) Lana Del Rey 5:36 1-May-12,None,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,None,None
80,DonŠ -- Èt Go ( feat . Josh Kumra ) $ 1.29 2012 Ministry of Sound Recordings Limited 3:57 2-Sep-12,Wretch 32,The Chillout Session - Ministry of Sound,"Pop , Music",None,None,None,None
81,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ] Lana Del Rey $ 1.29 2012 Polydor Ltd. ( UK ) 8:13,None,Ride ( Remixes ),"Alternative , Music , Rock",None,None,None,19-Nov-12
82,"Ride ( Lyla 's Surprise ) [ James Lavelle Remix ] Lana Del Rey Ride ( Remixes ) Alternative , Music , Rock $ 1.29",None,None,None,None,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
83,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ] Lana Del Rey Ride ( Remixes ) $ 1.29 2012 Polydor Ltd. ( UK ) 8:13,None,None,"Alternative , Music , Rock",None,None,None,19-Nov-12
84,Once Upon a Dream Maleficent ( Original Motion Picture Soundtrack ) $ 1.29 2014 Walt Disney Records,Lana Del Rey,None,"Soundtrack , Music",None,None,3:20,27-May-14
85,"Perfect Selena Gomez Pop , Music , Rock Album Only 2015 Interscope Records 4:02",None,Revival ( Deluxe ),None,None,None,None,None
86,Perfect Selena Gomez Revival ( Deluxe ) 4:02,None,None,"Pop , Music , Rock",Album Only,2015 Interscope Records,None,None
87,Perfect Album Only 2015 Interscope Records,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",None,None,4:02,None
88,Perfect Selena Gomez Album Only 2015 Interscope Records 4:02,None,Revival ( Deluxe ),"Pop , Music , Rock",None,None,None,None
89,Perfect Revival ( Deluxe ),Selena Gomez,None,"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,None
90,"Perfect Pop , Music , Rock Album Only",Selena Gomez,Revival ( Deluxe ),None,None,2015 Interscope Records,4:02,None
91,Perfect Selena Gomez Revival ( Deluxe ),None,None,"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,None
92,"Perfect Selena Gomez Revival ( Deluxe ) Pop , Music , Rock Album Only 4:02",None,None,None,None,2015 Interscope Records,None,None
93,"Perfect Selena Gomez Revival ( Deluxe ) Pop , Music , Rock Album Only 2015 Interscope Records 4:02",None,None,None,None,None,None,None
94,"Perfect Pop , Music , Rock Album Only 4:02",Selena Gomez,Revival ( Deluxe ),None,None,2015 Interscope Records,None,None
95,"Rise Pop , Music , Rock Album Only",Selena Gomez,Revival,None,None,2015 Interscope Records,3:03,None
96,Rise,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,None
97,Rise 3:03,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,None,None
98,Rise Revival Album Only 2015 Interscope Records 3:03,Selena Gomez,None,"Pop , Music , Rock",None,None,None,None
99,Rise Revival Album Only 2015 Interscope Records 3:03,Selena Gomez,None,"Pop , Music , Rock",None,None,None,None
100,Rise Selena Gomez Revival Album Only 2015 Interscope Records,None,None,"Pop , Music , Rock",None,None,3:03,None
101,"Rise Revival Pop , Music , Rock 2015 Interscope Records 3:03",Selena Gomez,None,None,Album Only,None,None,None
102,Rise Selena Gomez,None,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,None
103,Rise Selena Gomez Album Only 2015 Interscope Records,None,Revival,"Pop , Music , Rock",None,None,3:03,None
104,"This Is What It Feels Like ( feat . Trevor Guthrie ) Fitness & Workout , Music Album Only 17-Dec-13",Armin van Buuren,NOW That 's What I Call a Workout 3,None,None,"2013 UMG Recordings , Inc. and Sony Music Entertainment",3:23,None
105,"VHS Outro ( Interlude ) X Ambassadors Alternative , Music , Rock , Adult Alternative $ 1.29 1:25 30-Jun-15",None,VHS,None,None,2015 KIDinaKORNER/Interscope Records,None,None
106,VHS Outro ( Interlude ) VHS $ 1.29 1:25 30-Jun-15,X Ambassadors,None,"Alternative , Music , Rock , Adult Alternative",None,2015 KIDinaKORNER/Interscope Records,None,None
107,VHS Outro ( Interlude ) $ 1.29 2015 KIDinaKORNER/Interscope Records 1:25,X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",None,None,None,30-Jun-15
108,VHS Outro ( Interlude ) VHS $ 1.29 2015 KIDinaKORNER/Interscope Records 1:25 30-Jun-15,X Ambassadors,None,"Alternative , Music , Rock , Adult Alternative",None,None,None,None
109,"VHS Outro ( Interlude ) Alternative , Music , Rock , Adult Alternative 2015 KIDinaKORNER/Interscope Records 1:25",X Ambassadors,VHS,None,$ 1.29,None,None,30-Jun-15
110,VHS Outro ( Interlude ) 1:25 30-Jun-15,X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,None,None
111,"Place of Love ( feat . Filburt ) [ MP Edit ] Chilled House Session 2014 - Ministry of Sound Dance , Music $ 1.29 2014 Ministry of Sound Recordings Ltd 5:42 16-Feb-14",Good Guy Mikesh,None,None,None,None,None,None
112,Falling ( Commited To Sparkle Motion ) [ Ibiza Annual 2013 Edit ] [ Axwell Radio Edit ] Discopolis Album Only 2013 Ministry of Sound Recordings Ltd. 3:05 2-Sep-13,None,Ibiza Annual 2013 - Ministry of Sound,"Dance , Music",None,None,None,None
113,The Renegade ( Addicted To Bass Winter 2013 Edit ) Friend Within Addicted To Bass Winter 2013 - Ministry of Sound 2:18 30-Sep-13,None,None,"Dance , Music",Album Only,2013 Ministry of Sound Recordings Ltd.,None,None
114,"Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ] Wiley & Naughty Boy Dance , Music 4:02 26-Feb-10",None,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,None,$ 1.29,2010 The copyright in this sound recording is owned by Virgin Records Ltd,None,None
115,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ] Wiley & Naughty Boy Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP $ 1.29,None,None,"Dance , Music",None,2010 The copyright in this sound recording is owned by Virgin Records Ltd,4:02,26-Feb-10
116,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ] Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP $ 1.29 2010 The copyright in this sound recording is owned by Virgin Records Ltd 4:02,Wiley & Naughty Boy,None,"Dance , Music",None,None,None,26-Feb-10
117,"Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ] Wiley & Naughty Boy Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP Dance , Music $ 1.29 2010 The copyright in this sound recording is owned by Virgin Records Ltd 4:02",None,None,None,None,None,None,26-Feb-10
118,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ] Wiley & Naughty Boy Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP 2010 The copyright in this sound recording is owned by Virgin Records Ltd 4:02 26-Feb-10,None,None,"Dance , Music",$ 1.29,None,None,None
119,Here It Comes Emeli Sand ' © & Rick Smith,None,Our Version of Events ( Deluxe Edition ),"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Contemporary",$ 1.29,2013 Virgin Records Ltd,7:40,8-Oct-13
120,"Felt Mountain Soundtrack , Music 2014 Universal Music Enterprises , a Division of UMG Recordings , Inc.",Goldfrapp,Vampire Academy ( Music From the Motion Picture ),None,Album Only,None,4:14,4-Feb-14
121,"Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ] Breach Eat , Sleep , Rave , Repeat - Ministry of Sound Dance , Music 2014 Ministry of Sound Recordings Ltd 2:43",None,None,None,Album Only,None,None,10-Feb-14
