_id,ltable_id,rtable_id,label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year
11,2076,1563,0,mixed mode xml query processing,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003,a transducer-based xml query processor,", p mukhopadhyay , y papakonstantinou","vldb ,",2002.0
12,944,63682,1,dynamat : a dynamic view management system for data warehouses,"y kotidis , n roussopoulos",sigmod conference,1999,dynamat : a dynamic viewmanagement system fordata warehouses,ykn roussopoulos,proc . of the acm sigmod,None
13,19,6179,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,mining association rules from semi-structured data,"k maruyama , k uehara","icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000.0
14,95,5659,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,"data mining using two-dimensional optimized association rules for numeric data : scheme , algorithms ,","t fukuda , y morimoto , s morishita , t tokuyama",proceedings of the acm sigmod international conference on,None
15,794,20719,0,on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod record,1995,temporal databases,rt snodgrass,None,None
16,990,12798,0,data management issues in electronic commerce ( panel ),m жzsu,sigmod conference,1999,special section on data management issues in e-commerce,a dogac,"acm sigmod record ,",None
17,1082,25283,1,storage and retrieval of xml data using relational databases,None,None,2001,storage and retrieval of xml data using relational databases,"s chaudhuri , k shim","data engineering , 2003 . proceedings . 19th international & hellip ; ,",2003.0
18,2161,932,0,banks : browsing and keyword searching in relational databases,"b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan",vldb,2002,distance browsing in spatial databases,"gr hjaltason , h samet","acm transactions on database systems ,",1999.0
19,2455,31743,0,answering queries using views : a survey,a halevy,vldb j.,2001,a scalable algorithm for answering queries using views,ay levy,None,None
20,909,38317,1,path sharing and predicate evaluation for high-performance xml filtering,"y diao , m altinel , m franklin , h zhang , p fischer",acm trans . database syst .,2003,yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering,"y diao , m altinel , mj franklin , h zhang , p fischer",acm transactions on database systems ( tods ),None
21,1219,41899,0,tavant system architecture for sell-side channel management,"s narayanan , s subramanian",vldb,2001,a control system architecture for intelligent systems,j albus,"procs . of the 1987 ieee intl. conf . on systems , man and & hellip ; ,",None
22,19,57159,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,a new sql-like operator for mining association rules,"s ceri , r meo , g psaila",proc . of the 22nd intâ ?? l conference on very large data,None
23,1656,45351,1,a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0
24,1187,4546,1,ariadne : a system for constructing mediators for internet sources,"j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada",sigmod conference,1998,. and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system,"jl ambite , n ashish , g barish",proc . of a cm sigmod conf . on management of,None
25,558,2895,0,asserting beliefs in mls relational models,"n jukic , s vrbsky",sigmod record,1997,learning probabilistic relational models,l getoorâ ? ¦,"lecture notes in computer science ,",2000.0
26,665,3408,0,exploiting main memory dbms features to improve real-time concurrency control protocols,"ж ulusoy , a buchmann",sigmod record,1996,index concurrency control in firm real-time dbms,"b goyal , j haritsa , s seshadri , v srinivasan","proceedings of the international conference on very large & hellip ; ,",1995.0
27,1207,1852,0,hierarchical compact cube for range-max queries,"s lee , t ling , h li",vldb,2000,hierarchical prefix cubes for range-sum queries,"cy chan , ye ioannidis","proceedings of the 25th international conference on very & hellip ; ,",1999.0
28,1953,42525,0,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,parallel algorithm for mining outliers in large database,e hung,None,None
29,171,1241,1,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994,and j. yu . client-server paradise,"dj dewitt , n kabra , j luo , jm pate","proceedings ofthe twentieth international conference on vey & hellip ; ,",None
30,612,5130,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,None
31,1612,21786,0,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,incremental cluster for mining in a data warehousing environment,"m ester , h kriegel , j sander , m wimmer , x xu","proc . of 24 thintâ ?? l conf . of vldb ,",None
32,2281,2887,0,re-tree : an efficient index structure for regular expressions,"c chan , m garofalakis , r rastogi",vldb j.,2003,the tv-tree : an index structure forhigh-dimensional data,"ki lin , h jagadish , c faloutsos","the vldb journal ,",None
33,1399,29840,0,picodmbs : scaling down database techniques for the smartcard,"c bobineau , l bouganim , p pucheral , p valduriez",vldb,2000,database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon","sigmod record ,",1998.0
34,1829,13738,0,open object database management systems,None,None,1994,case for output management systems .,k schwaber,"computerworld. ,",1981.0
35,2001,45908,0,query processing in spatial network databases,"d papadias , j zhang , n mamoulis , y tao",vldb,2003,redundancy in spatial databases,ja orenstein,None,None
36,86,48634,1,dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994,dual-buffering strategies in object bases,"a kemper , d kossmann","vldb ,",1994.0
37,2212,57630,0,streaming queries over streaming data,"s chandrasekaran , m franklin",vldb,2002,processing complex aggregate queries over data streams,"a dobra , mn garofalakis , j gehrke , r rastogi","sigmod conference ,",2002.0
38,1640,11823,0,algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,algorithms for mining association rules in bag databases,"py hsu , yl chen , cc ling","information sciencesâ ?? informatics and computer science : an & hellip ; ,",2004.0
39,1342,2113,0,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000,the ssã · - tree : an improved index structure for similarity searches in a high-dimensional feature,"r kurniawati , js jin , ja shepherd",None,None
40,528,43088,0,foreword : management of semistructured data,None,None,1997,lore : a database management system for semistructued data,"j mchugh , s abiteboul , r goldmanâ ? ¦","acm sigmod ,",None
41,1920,1560,0,optimizing queries with universal quantification in object-oriented and object-relational databases,"j clauпen , a kemper , g moerkotte , k peithner",vldb,1997,maximal objects and the semantics of universal relation databases,"d maier , jd ullman","acm transactions on database systems ,",1983.0
42,2506,52821,0,index nesting - an efficient approach to indexing in object-oriented databases,"b ooi , j han , h lu , k tan",vldb j.,1996,spatial query processing in an object-oriented database system,ja orenstein,proceedings of the 1986 acm sigmod international conference,None
43,2151,35798,0,an efficient method for performing record deletions and updates using index scans,c mohan,vldb,2002,an efficient indexing method for partitioned data,"d choy , c mohan","ibm research report , ibm almaden research center , january ,",None
44,1637,1596,0,keynote address,None,None,1995,keynote address,t bailey,"women in aviation international conference , reno , nv , march ,",None
45,563,59808,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,cost-based selection of path expression processing algorithms in object-oriented databases,"g gardarin , jr gruser , zh tang","proceedings of the international conference on very large & hellip ; ,",1996.0
46,254,6397,0,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han",vldb,1994,"support for polylingual persistence , interoperability and naming in object-oriented databases","a kaplan , jcp wileden","technical report tr-96-4 , university of massachusetts , computer",None
47,2272,6326,0,semantics for update rule programs and implementations in a relational database management system,"l raschid , j lobo",acm trans . database syst .,1996,performance analysis of a relational data base management system,"p hawthorn , m stonebraker",proceedings of the 1979 acm sigmod international conference,None
48,1326,23335,0,meaningful change detection in structured data,"s chawathe , h garcia-molina",sigmod conference,1997,j. widom change detection in hierarchically structured information,"s chawathe , a rajaraman , h garcia-molina",proc . of the acm sigmod int . conf . on management of,None
49,2342,35760,0,editorial,None,None,2001,eic editorial,ps yu,"ieee transactions on knowledge and data engineering ,",2004.0
50,874,24044,0,data management research at the mitre corporation,"a rosenthal , l seligman , c mccollum , b blaustein , b thuraisingham , e lafferty",sigmod record,1995,the management transition,l goff,"computerworld ,",None
51,1872,44931,0,energy and rate based mac protocol for wireless sensor networks,"r kannan , r kalidindi , s iyengar , v kumar",sigmod record,2003,implementation and research issues in query processing for wireless sensor networks,"w hong , s madden",None,None
52,1842,12676,0,dwms : data warehouse management system,n mohan,vldb,1996,the active database management systems manifesto,"kr dittrich , s gatziu , a geppert","sigmod record ,",None
53,933,59279,0,information management for genome level bioinformatics,None,None,2001,implementing information management strategies .,cet rohm,"new directions for higher education ,",1986.0
54,1884,53983,1,recovering information from summary data,"c faloutsos , h jagadish , n sidiropoulos",vldb,1997,recovering information from summary data,"hv jagadish , nd sidiropoulost",None,None
55,1131,49781,0,efficiently mining long patterns from databases,r jr.,sigmod conference,1998,efficient timestamping in databases,"k torp , cs jensen , rt snodgrass","vldb journal , to",None
56,1922,57406,0,editor 's notes,l liu,sigmod record,2003,editors ' notes,"r picciotto , rc rist","new directions for program evaluation ,",1995.0
57,1742,36645,1,a performance study of transitive closure algorithms,"s dar , r ramakrishnan",sigmod conference,1994,a performance study of transitive closure algorithms,"s dar , r ramakrishnan","sigmod conference ,",1994.0
58,280,25877,0,aurora : a data stream management system,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003,bayan : an arabic text database management system,"r king , a morfeq","proceedings of the 1990 acm sigmod international conference & hellip ; ,",1990.0
59,580,339,0,chair 's message,None,None,1998,sigcas chair 's message,cd martin,"computers and society ,",None
60,584,43284,1,database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon",sigmod record,1998,mendelzon . database techniques for the world-w ide-wide : a survey,"d florescu , a levy","sigmod record ,",None
61,2483,10507,0,guest editorial,None,None,2000,guest editor 's introduction,k aberer,"acm sigmod record ,",2003.0
62,207,3882,0,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,None,None,2001,guest editors ' introduction : special section on mining and searching the web,"b liu , s chakrabarti","ieee transactions on knowledge and data engineering ,",2004.0
63,2330,7916,0,editorial,None,None,2001,guest editorial,c allocchio,"computer networks ,",2000.0
64,1419,58713,0,birch : an efficient data clustering method for very large databases,"t zhang , r ramakrishnan , m livny",sigmod conference,1996,efficient and effective clustering methods for spatial data mining,"tn raymond , j han","proc . of vldb conf ,",None
65,1365,18229,0,infomaster : an information integration system,"m genesereth , a keller , o duschka",sigmod conference,1997,peersdi : a peer-to-peer information dissemination system,"k zhao , s zhou , l xu , w cai , a zhou",None,None
66,42,2235,0,editor 's notes,l liu,sigmod record,2002,editor 's notes,r goldstein,"the american statistician ,",1996.0
67,659,17331,0,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,management of multidimensional discrete data in database systems,pasb furtado,None,None
68,1190,53516,1,efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin",vldb,2000,xfilter : efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin","proceedings of the 26th vldb conference , egypt",None
69,1913,31541,0,optimizing queries across diverse data sources,"l haas , d kossmann , e wimmers , j yang",vldb,1997,optimizing existential queries,"r ramakrishnan , c beeri , r krishnamurthy","& hellip ; . sigact-sigmod principles of database systems conference ( & hellip ; ,",None
70,1701,26265,0,groupwise processing of relational queries,"d chatziantoniou , k ross",vldb,1997,on line processing of compacted relations,"f bancilhon , p richard , m scholl","vldb ,",1982.0
71,797,52892,0,a data model and data structures for moving objects databases,"l forlizzi , r gќting , e nardelli , m schneider",sigmod conference,2000,1548 classic : a structural data model for objects . 1549 in,"a borgida , rj brachman , dl mcguinness , la resnick",proceedings of the 1989 acm sigmod international conference,None
72,6,42009,0,procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski",vldb,1995,semantics and implementation of schema evolution in object-oriented languages,"j banerjee , w kim , hj kim , hk forth",proceedings of the acm sigmod annual,None
73,2481,53218,1,one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb j.,2000,one-dimensional and multi-dimensional substring selectivity estimation,"hv jagadish , o kapitskaia , rt ng , d srivastava","the vldb journal the international journal on very large & hellip ; ,",2000.0
74,1407,3251,0,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,data abstraction and transaction processing in the database programming language rapp,"jg hughes , m connolly","acm press frontier series ,",1990.0
75,1712,63795,0,the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995,the ores temporal database system,"b theodolidis , ga ait-braham , j chaudhary , g","proc . acm sigmod conf . on the management of data ,",None
76,1442,54315,0,databases and visualization,d keim,sigmod conference,1996,delaunay : a database visualization system,"wt lucas , if cruz , m radzyminski , m averbuch , k","sigmod rec ,",1997.0
77,606,34045,0,reminiscences on influential papers,None,None,1998,reminiscences on influential papers,r snodgrass,"acm transactions on database systems ,",1976.0
78,1407,37260,0,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,scheduling real-time transactions,"rk abbott , h garcia-molina","sigmod record ,",1988.0
79,1611,38141,0,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance","a hosking , j chen",vldb,1999,hydice system : implementation and performance,"rw basedow , me anderson","proc . spie ,",1995.0
80,563,40722,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,translating update operations from relational to object-oriented databases,"pm reppert , fd morgan , mn toksoz , x zhang , j fong","information and software technology ,",2000.0
81,1944,26880,0,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,access pathselectionina relationaldatabase management system,"p selinger , mm astrahan , dd chamberlin , ra lorie ,","proceedings of the acm-sigmod international conference on & hellip ; ,",None
82,1152,21028,0,automated selection of materialized views and indexes in sql databases,"s agrawal , s chaudhuri , v narasayya",vldb,2000,materialized view selection for multidimensional database,"a shukla , p deshpande","proceedings of 24 international conference on very large & hellip ; ,",None
83,1970,29564,1,bypassing joins in disjunctive queries,"m steinbrunn , k peithner , g moerkotte , a kemper",vldb,1995,bypassing joins in disjunctive queries,acm.org,"vldb ,",1995.0
84,2232,16106,0,optimizing the secure evaluation of twig queries,"s cho , s amer-yahia , l lakshmanan , d srivastava",vldb,2002,on the minimization of xpath queries,s bottcher,None,None
85,2437,45096,0,data partitioning and load balancing in parallel disk systems,"p scheuermann , g weikum , p zabback",vldb j.,1998,dynamic multi-resource load balancing in parallel db systems,"e rahm , r marek","international conf . on very large data bases ( vldb ) ,",None
86,1840,43474,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom","sigmod record ,",1997.0
87,1633,33625,0,keynote address,None,None,1995,keynote address,r reich,"& hellip ; labor , bureau of international labor affairs , international & hellip ; ,",None
88,352,50155,0,processing set expressions over continuous update streams,"s ganguly , m garofalakis , r rastogi",sigmod conference,2003,processing of continuous queries over unlimited data streams,"e vossough , jr getta",None,None
89,176,15535,0,introduction to the career forum column,a labrinidis,sigmod record,2001,introduction,p alston,"see ref ,",1990.0
90,2220,8129,0,foundations of preferences in database systems,w kieпling,vldb,2002,designing relational database systems,r riordan,None,1999.0
91,2030,18418,1,locating data sources in large distributed systems,"l galanis , y wang , s jeffery , d dewitt",vldb,2003,locating data sources in large distributed systems,"l galanis , y wang , sr jeffery , dj dewitt","vldb ,",2003.0
92,713,31328,0,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,buer managementin relational database systems,"gm sacco , m schkolnick","acm transactions on database systems ,",None
93,2125,6343,0,discover : keyword search in relational databases,"v hristidis , y papakonstantinou",vldb,2002,the theory of joins in relational databases,"av ario , c beer , jd ullman","acm trans . database syst ,",None
94,140,52025,0,some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994,reactive consistency control in deductive databases,"g moerkotte , pc lockemann","acm transactions on database systems ,",1991.0
95,1841,26355,0,database management systems and the internet,s malaika,vldb,1996,relational data-base management systems,dd chamberlin,"acm computing surveys ( csur ) ,",1976.0
96,2483,14876,0,guest editorial,None,None,2000,guest editorial,rc holte,"machine learning ,",2001.0
97,950,63151,0,spatial queries in dynamic environments,"y tao , d papadias",acm trans . database syst .,2003,location-based spatial queries with data sharing in mobile environment,"ws ku , r zimmermann , cn wan",None,None
98,1965,26315,0,a scalable architecture for autonomous heterogeneous database interactions,"s milliner , a bouguettaya , m papazoglou",vldb,1995,graphical interaction with heterogeneous databases,"t catarci , g santucci , j cardiff","the vldb journal the international journal on very large & hellip ; ,",1997.0
99,1524,49333,1,an open storage system for abstract objects,"s blott , l relly , h schek",sigmod conference,1996,an abstract-object storage manager,"s blott , l relly , hj schek","& hellip ; 1996 acm sigmod int . conf . on management of data , acm sigmod",None
100,1272,36669,0,warehousing workflow data : challenges and opportunities,"a bonifati , f casati , u dayal , m shan",vldb,2001,expressing cultural identity in the learning community : opportunities and challenges,am ortiz,"new directions for teaching and learning ,",2000.0
101,563,43933,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,semanticmodelling of object-oriented databases,mbe m & de,"hoe . vldb ,",None
102,1703,13262,0,a region splitting strategy for physical database design of multidimensional file organizations,"j lee , y lee , k whang , i song",vldb,1997,a fondationfor multidimensional databases,"m gyssens , l lakshmanan",proceedings of the 23rd vldb,None
103,95,7046,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,sql-like operator for mining association rules,"r meo , g psaila , s ceri , a new","proceedings of international conference on very large & hellip ; ,",None
104,1749,14336,0,implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,decomposition and composition of a relational database,"y tanaka , t tsuda","vldb ,",1977.0
105,203,51065,0,integrating a structured-text retrieval system with an object-oriented database system,"t yan , j annevelink",vldb,1994,event specification in an object-oriented database system,"nh gehani , hv jagadish , o shmueli",proc . acm sigmod international conference on management of,None
106,175,28116,0,cache conscious algorithms for relational query processing,"a shatdal , c kant , j naughton",vldb,1994,efficient algorithms for processing xpath queries,"g koch , c koch , r pichler","28th vldb conference ,",None
107,670,37765,0,deeds towards a distributed and active real-time database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,1996,ditse : an experimental distributed database system,"n cheng-yao , y shyan-ming","information and software technology ,",1996.0
108,2310,51126,0,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,implementation of logiclal query languages for databases ( abstract only ),jd ullman,"proceedings of the 1985 acm sigmod international conference & hellip ; ,",1985.0
109,2396,17331,0,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,management of multidimensional discrete data in database systems,pasb furtado,None,None
110,1368,47099,0,s3 : similarity search in cad database systems,"s berchtold , h kriegel",sigmod conference,1997,arun swami . efficient similarity search in sequence databases,cf rakeshagrawal,"procs . of the fourth international conference on foundations & hellip ; ,",None
111,2497,10451,1,active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi",vldb j.,2001,active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi","the vldb journal the international journal on very large & hellip ; ,",2001.0
112,716,59482,0,materialized view and index selection tool for microsoft sql server 2000,"s agrawal , s chaudhuri , v narasayya",sigmod conference,2001,materialized view selection for multidimensional datasets,"a shukla , p deshpande , jf naughton","vldb ,",1998.0
113,532,3765,1,workflow management with service quality guarantees,"m gillmann , g weikum , w wonner",sigmod conference,2002,workflow management with service quality guarantees,m gillmann,None,None
114,713,19205,0,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,xquery implementation in a relational database system,"s pal , i cseri , o seeliger , m rys , g schaller , w",submitted for,None
115,595,42343,0,applications of the java programming language to database management,"b burton , v marek",sigmod record,1998,behaviour management in database applications,"jy lingat , p nobecourt , c rolland",None,None
116,2538,1869,0,an introduction to spatial database systems,r gќting,vldb j.,1994,logical introduction to databases,j grant,None,1987.0
117,612,8771,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,efficient parallel data mining for association rules,"js park , ms chen , ps yuâ ? ¦",None,None
118,2538,16881,0,an introduction to spatial database systems,r gќting,vldb j.,1994,research issues in spatial database systems,"o guenther , a buchmann","sigmod-record , acm ,",None
119,2455,6596,0,answering queries using views : a survey,a halevy,vldb j.,2001,an algorithm for answering queries efficiently using views,p mitra,None,None
120,1651,18695,1,computing iceberg queries efficiently,"m fang , n shivakumar , h garcia-molina , r motwani , j ullman",vldb,1998,computing iceberg queries ecientlyproc . 1996 int,"m fang , n shivakumar , hg molina , r motwani , jd","conf . very large data bases ,",None
121,674,31393,1,database research : achievements and opportunities into the 21st century,"a silberschatz , m stonebraker , j ullman",sigmod record,1996,database research : achievements and opportunities into the 1st century,"a silberschatz , m stonebraker , j ullman","acm sigmod record ,",1996.0
122,2385,32585,0,introduction ( special issue on multimedia databases ),"m жzsu , s christodoulakis",vldb j.,1998,special issue on spatial database systems,hj schek,"the vldb journalâ ?? the international journal on very large & hellip ; ,",1994.0
123,2142,8018,0,business process cockpit,"m sayal , f casati , u dayal , m shan",vldb,2002,business process coordination : state of the art,"u dayal , m hsu , r ladin","trends and open issues . ( 2001 ) at proceedings of the 27th & hellip ; ,",None
124,19,51361,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,"fast algorithms for mining association rules , proc","r agrawal , r srikant",vldb,None
125,270,11014,0,reminiscences on influential papers,None,None,2000,reminiscences of an indian official,o cavenagh,None,1884.0
126,1949,47930,0,the structured information manager : a database system for sgml documents,r sacks-davis,vldb,1996,lore : a database management system for semistructured data,"s abiteboul , j mchugh , d quass , j widom , r goldman","sigmod record ,",None
127,1660,39229,1,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,"m жzsu , k voruganti , r unrau",vldb,1998,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,", k voruganti , rc unrau","vldb ,",1998.0
128,1969,57383,0,coloring away communication in parallel query optimization,"w hasan , r motwani",vldb,1995,parallel databases : structured query optimization,"n biscondi , a flory , l brunie",None,None
129,703,47913,0,query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",None
130,1159,51185,0,simultaneous optimization and evaluation of multiple dimensional queries,"y zhao , p deshpande , j naughton , a shukla",sigmod conference,1998,optimization of query evaluation algorithms,sb yao,"acm transactions on database systems ,",1979.0
131,2538,13096,1,an introduction to spatial database systems,r gќting,vldb j.,1994,an introduction to spatial database systems,portal.acm.org,None,1994.0
132,1498,46299,1,state of the art in workflow management research and products,None,None,1996,"workflow management systems : state of the art on research and products , tutorial notes",c mohan,"int . conf . on extending database technology , avignon ,",None
133,336,31743,0,theory of answering queries using views,a halevy,sigmod record,2000,a scalable algorithm for answering queries using views,ay levy,None,None
134,570,50379,0,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997,u-dbms : a database system for managing constantly-evolving data,"r cheng , s singh , s prabhakar","proceedings of the 31st international conference on very & hellip ; ,",2005.0
135,1925,59481,0,report on the 4th international conference on mobile data management,None,None,2003,"shoring up persistent applications , acm sigmod international conference on management of data","mj carey , dj dewitt , mj franklinâ ? ¦","minneapolis , minnesota . may ,",None
136,2539,10256,0,ordered shared locks for real-time databases,"d agrawal , a abbadi , r jeffers , l lin",vldb j.,1995,current research on real-time databases,o ulusoy,"sigmod record ,",1992.0
137,148,38562,1,reminiscences on influential papers,None,None,2001,reminiscences on influential papers,ka ross,sigmod,2002.0
138,1518,27863,0,static detection of security flaws in object-oriented databases,k tajima,sigmod conference,1996,structures for manipulating proposed updates in object-oriented databases,"m doherty , r hull , m rupawalla","sigmod conference ,",1996.0
139,1684,5867,0,concurrent garbage collection in o2,"m skubiszewski , p valduriez",vldb,1997,opportunistic garbage collection,pr wilson,"acm sigplan notices ,",1988.0
140,574,44982,0,data management for earth system science,"j frew , j dozier",sigmod record,1997,secure score management for p2p systems,"b yang , sd kamvar , h garcia-molina","technical report , stanford university ,",None
141,1788,35588,0,optimizing disjunctive queries with expensive predicates,"a kemper , g moerkotte , k peithner , m steinbrunn",sigmod conference,1994,optimizing real conjunctive queries,"s chaudhuri , m vardi","proc . of the acm sigact-sigmod-sigart symposium on & hellip ; ,",None
142,809,64166,0,a new join algorithm,"d shin , a meltzer",sigmod record,1994,a new algorithm for floorplan desip,"df wong , cl liu",proceedings of the 23rd acm/ieee design automation,None
143,1395,21960,0,supporting multiple view maintenance policies,"l colby , a kawaguchi , d lieuwen , i mumick , k ross",sigmod conference,1997,supporting multiple access control policies in database systems,"f rabitti , e bertino , w kim , d woelk","acm transactions on database systems ,",None
144,151,31322,0,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994,tutorial on object-oriented databases,ms jackson,"information and software technology ,",1991.0
145,2166,28650,0,database technologies for electronic commerce,"r agrawal , r srikant , y xu",vldb,2002,frontiers of electronic commerce,"r kalakota , ab whinston",None,1996.0
